IMEI,Device Name,Pick Time,EW,Longitude,NS,Latitude,Speed,Course,Altitude,Temperature,Voltage,Activity,Satellites,HDOP,VDOP,Precision Grade,Validity,Transmission Time,Channel
073587748,HQC6259 Button,2025-10-06 20:00:55,E,0.7799900,N,40.2237800,69.30,179.0,1503.00,17.00,3.74,3578,12,0.7,0.9,A,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-10-06 16:01:00,E,0.5361100,N,41.1310200,0.00,0.0,235.00,36.13,3.74,416,11,0.9,1.3,A,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-10-06 12:00:55,E,0.5361500,N,41.1310400,0.00,0.0,236.00,43.10,3.74,282,10,1.7,1.4,B,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-10-06 06:00:55,E,0.5361200,N,41.1310200,0.00,0.0,229.00,18.70,3.66,5642,12,1.0,1.1,A,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-10-06 02:00:55,E,0.7372700,N,42.5179700,88.30,194.0,2442.00,7.37,3.70,3752,12,0.6,0.8,A,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-10-05 22:00:55,E,0.9499500,N,44.4707100,77.80,181.0,478.00,12.96,3.69,2862,12,0.8,1.4,A,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-10-05 16:00:59,E,1.1738800,N,46.3056500,0.00,0.0,224.00,27.37,3.73,649,11,0.7,1.2,A,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-10-05 12:00:55,E,1.1739900,N,46.3057000,0.00,0.0,227.00,32.13,3.75,1251,12,1.1,1.7,A,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-10-05 02:00:55,E,1.2552200,N,46.5977000,35.50,177.0,334.00,11.14,3.61,2121,12,0.6,0.8,A,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-10-04 22:00:55,W,-0.4930100,N,49.0432900,86.50,143.0,644.00,10.13,3.65,6603,12,0.8,0.9,A,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-10-04 13:43:29,W,-2.9095800,N,51.0834600,0.00,0.0,10.00,31.09,3.69,6332,7,1.1,1.5,A,Yes,2025-10-06 20:02:51,GPRS
073587748,HQC6259 Button,2025-10-01 16:55:11,W,-2.9086900,N,51.0833800,0.00,0.0,11.00,27.37,3.64,7504,6,1.0,1.6,A,Yes,2025-10-06 20:02:51,GPRS
