"country","device_id","UTC_datetime","UTC_date","UTC_time","Latitude","Longitude","hdop","satcount","U_bat_mV","Altitude_m","speed_km_h","direction_deg","temperature_C"
"IRE","HQC6262 Shitake",2025-08-19 22:00:59,2025-08-19,22:00:59,51.69615,-3.84495,1.8,5,3.62,234,0,0,18.38
"IRE","HQC6262 Shitake",2025-08-19 12:01:00,2025-08-19,12:01:00,51.69697,-3.84567,2.8,7,3.62,227,0,0,38.08
"IRE","HQC6262 Shitake",2025-08-18 22:01:00,2025-08-18,22:01:00,51.69568,-3.84607,0.9,9,3.62,222,0,0,26.32
"IRE","HQC6262 Shitake",2025-08-18 12:49:41,2025-08-18,12:49:41,51.69555,-3.84658,2.4,6,3.65,222,0,0,35.01
"IRE","HQC6262 Shitake",2025-08-18 06:00:55,2025-08-18,06:00:55,51.69511,-3.84788,0.9,12,3.67,210,0,0,24.8
"IRE","HQC6262 Shitake",2025-08-18 02:01:00,2025-08-18,02:01:00,51.69519,-3.84741,1.1,8,3.68,208,0,0,24.5
"IRE","HQC6262 Shitake",2025-08-17 22:00:27,2025-08-17,22:00:27,51.24709,-4.18706,2.5,7,3.69,82,39.3,20,22.3
"IRE","HQC6262 Shitake",2025-08-17 20:00:55,2025-08-17,20:00:55,51.60501,-4.10204,1,12,3.7,70,0,0,22.28
"IRE","HQC6262 Shitake",2025-08-17 12:00:56,2025-08-17,12:00:56,51.60543,-4.10398,2,8,3.63,74,0,0,39.07
"IRE","HQC6262 Shitake",2025-08-17 09:29:41,2025-08-17,09:29:41,51.60601,-4.10528,3.5,6,3.65,83,0,0,36.33
"IRE","HQC6262 Shitake",2025-08-16 13:00:55,2025-08-16,13:00:55,52.29443,-6.42037,0.9,12,3.58,6,0,0,30.48
"IRE","HQC6262 Shitake",2025-08-16 10:33:29,2025-08-16,10:33:29,52.29487,-6.4186,0.9,10,3.6,4,0,0,34.14
"IRE","HQC6262 Shitake",2025-08-15 14:04:56,2025-08-15,14:04:56,51.96691,-7.98457,4,8,3.62,87,0,0,37.53
"IRE","HQC6262 Shitake",2025-08-15 11:36:21,2025-08-15,11:36:21,51.96738,-7.98491,0.9,12,3.57,81,0,0,38.06
"IRE","HQC6262 Shitake",2025-08-14 13:33:11,2025-08-14,13:33:11,53.06487,-9.16441,0.9,10,3.58,185,0,0,39.57
"IRE","HQC6262 Shitake",2025-08-14 11:04:11,2025-08-14,11:04:11,53.06485,-9.16446,3.9,4,3.57,181,0,0,38.33
"IRE","HQC6262 Shitake",2025-08-14 09:33:55,2025-08-14,09:33:55,53.06477,-9.16433,1.2,11,3.64,180,0,0,30.64
"IRE","HQC6262 Shitake",2025-08-13 16:10:11,2025-08-13,16:10:11,54.2527,-9.99158,2.2,8,3.6,29,0,0,32.16
"IRE","HQC6262 Shitake",2025-08-12 14:41:03,2025-08-12,14:41:03,54.25256,-9.9917,1.1,8,3.59,27,0,0,35.67
"IRE","HQC6262 Shitake",2025-08-12 12:11:41,2025-08-12,12:11:41,54.25257,-9.99175,1.7,8,3.6,29,0,0,37.55
"IRE","HQC6262 Shitake",2025-08-11 17:25:42,2025-08-11,17:25:42,54.25422,-9.99295,1,11,3.6,23,0,0,30.32
"IRE","HQC6262 Shitake",2025-08-11 13:56:41,2025-08-11,13:56:41,54.25422,-9.99296,1,11,3.58,25,0,0,39.42
"IRE","HQC6262 Shitake",2025-08-11 11:28:12,2025-08-11,11:28:12,54.25422,-9.99294,1.9,6,3.56,20,0,0,29.33
"IRE","HQC6262 Shitake",2025-08-10 13:58:30,2025-08-10,13:58:30,54.25416,-9.99304,2.2,6,3.56,26,0,0,30.73
"IRE","HQC6262 Shitake",2025-08-09 14:30:06,2025-08-09,14:30:06,54.25413,-9.99316,1,10,3.58,22,0,0,27.54
"IRE","HQC6262 Shitake",2025-08-09 11:00:49,2025-08-09,11:00:49,54.25418,-9.9929,1.6,5,3.62,25,0,0,35.46
"IRE","HQC6262 Shitake",2025-08-09 08:29:25,2025-08-09,08:29:25,54.25421,-9.99288,0.9,11,3.56,20,0,0,31.2
"IRE","HQC6262 Shitake",2025-08-08 14:00:59,2025-08-08,14:00:59,54.25422,-9.99294,1.5,9,3.58,26,0,0,33.61
"IRE","HQC6262 Shitake",2025-08-08 11:59:00,2025-08-08,11:59:00,54.25428,-9.99286,2,8,3.57,24,0,0,32.13
"IRE","HQC6262 Shitake",2025-08-07 15:29:42,2025-08-07,15:29:42,54.25424,-9.99271,1.2,10,3.55,21,0,0,27.63
"IRE","HQC6262 Shitake",2025-08-07 12:00:31,2025-08-07,12:00:31,54.25415,-9.99253,3.7,5,3.61,17,0,0,24.07
"IRE","HQC6262 Shitake",2025-08-07 10:48:11,2025-08-07,10:48:11,54.25436,-9.99216,1.5,6,3.66,21,0,0,32.57
"IRE","HQC6262 Shitake",2025-08-07 08:19:41,2025-08-07,08:19:41,54.25416,-9.99177,1.3,7,3.55,22,0,0,22.3
"IRE","HQC6262 Shitake",2025-08-06 21:58:00,2025-08-06,21:58:00,54.2535,-9.9916,2.2,8,3.56,24,0,0,23
"IRE","HQC6262 Shitake",2025-08-06 19:30:11,2025-08-06,19:30:11,54.25349,-9.99162,1.3,8,3.58,25,0,0,21.93
"IRE","HQC6262 Shitake",2025-08-06 19:00:42,2025-08-06,19:00:42,54.2535,-9.9915,5.7,4,3.66,32,0,0,22.16
"IRE","HQC6262 Shitake",2025-08-06 18:00:27,2025-08-06,18:00:27,54.25333,-9.99113,3.7,5,3.73,46,0,0,25.86
"IRE","HQC6262 Shitake",2025-08-06 17:00:42,2025-08-06,17:00:42,54.2535,-9.99165,2.2,7,3.74,17,0,0,28.41
"IRE","HQC6262 Shitake",2025-08-06 16:00:28,2025-08-06,16:00:28,54.25359,-9.99199,2.3,8,3.75,9,0,0,31.73
"IRE","HQC6262 Shitake",2025-08-06 15:00:26,2025-08-06,15:00:26,54.25344,-9.99151,2.1,8,3.75,22,0,0,27.22
"IRE","HQC6262 Shitake",2025-08-06 14:00:56,2025-08-06,14:00:56,54.2534,-9.99155,1.1,11,3.78,18,0,0,29.02
"IRE","HQC6262 Shitake",2025-08-06 13:01:29,2025-08-06,13:01:29,54.25204,-9.992,1.7,5,3.79,27,0,0,24.66
"IRE","HQC6262 Shitake",2025-08-06 12:00:33,2025-08-06,12:00:33,54.25214,-9.99217,2.1,7,3.8,19,0,0,32.07
"IRE","HQC6262 Shitake",2025-08-06 11:00:27,2025-08-06,11:00:27,54.25199,-9.99222,1.3,9,3.79,28,0,0,35.87
"IRE","HQC6262 Shitake",2025-08-06 10:00:55,2025-08-06,10:00:55,54.25203,-9.9922,0.7,12,3.79,30,0,0,24.96
"IRE","HQC6262 Shitake",2025-08-06 09:00:34,2025-08-06,09:00:34,54.25205,-9.99225,1.2,6,3.79,30,0,0,19.92
"IRE","HQC6262 Shitake",2025-08-06 08:00:27,2025-08-06,08:00:27,54.26606,-10.01049,1.4,9,3.79,45,0,0,21.59
"IRE","HQC6262 Shitake",2025-08-06 07:00:56,2025-08-06,07:00:56,54.26607,-10.01054,1.1,10,3.79,46,0,0,17.31
"IRE","HQC6262 Shitake",2025-08-06 06:00:27,2025-08-06,06:00:27,54.26608,-10.01061,2.4,5,3.79,48,0,0,14.03
"IRE","HQC6262 Shitake",2025-08-06 05:00:28,2025-08-06,05:00:28,54.26609,-10.01067,2.1,7,3.8,33,0,0,11.28
