"device_id","date_min","date_max","total_days"
"201003",2020-06-17,2020-11-23,160
"211423",2021-06-14,2021-08-12,60
"211425",2021-07-12,2021-07-22,11
"211436",2021-06-28,2021-07-04,7
"237508",2024-05-18,2024-07-27,71
"240557",2024-05-19,2024-05-24,6
"241927",2024-06-14,2024-07-16,33
"241928",2024-06-14,2024-10-21,130
"241929",2024-05-19,2024-05-22,4
"242719",2024-07-02,2024-08-08,38
"242720",2024-07-01,2024-07-18,18
"242721",2024-07-01,2024-09-26,88
"242722",2025-06-13,2025-06-25,13
"242723",2024-05-19,2024-06-09,22
"242724",2025-06-13,2025-07-17,35
"242725",2025-06-02,2025-09-16,107
"242726",2024-05-28,2024-07-06,40
"242728",2024-05-28,2024-07-03,37
"242729",2024-06-27,2024-07-23,27
"242730",2024-07-02,2024-09-17,78
"242731",2024-06-13,2024-09-12,92
"242732",2025-05-20,2025-06-23,35
"242735",2024-06-27,2024-07-04,8
"242736",2024-06-13,2024-06-29,17
"242737",2024-05-18,2024-09-29,135
"242739",2024-06-09,2024-08-07,60
"242740",2024-06-09,2024-06-20,12
"242741",2024-05-18,2024-09-14,120
"242742",2024-05-19,2024-07-06,49
"242743",2024-06-07,2024-08-19,74
"242744",2024-06-12,2024-09-01,82
"242745",2025-06-02,2025-07-10,39
"242746",2025-06-13,2025-08-27,76
"242747",2024-06-09,2024-08-28,81
"242749",2025-06-03,2025-06-16,14
"242751",2024-07-01,2024-10-03,95
"242752",2024-06-26,2024-09-18,85
"242753",2024-05-28,2024-09-06,102
"373486",2025-06-15,2025-07-26,42
"373487",2025-06-15,2025-09-10,88
"373488",2025-05-15,2025-07-31,78
"373489",2025-08-07,2025-08-10,4
"373490",2025-08-07,2025-08-10,4
"373491",2025-05-15,2025-08-08,86
"373492",2025-06-16,2025-07-26,41
"373492a",2025-05-15,2025-06-08,25
"373493",2025-05-16,2025-06-28,44
"373493j",2025-08-28,2025-09-14,18
"373494",2025-05-15,2025-09-11,120
"373495",2025-06-16,2025-07-15,30
"HQC6259 Button",2025-08-05,2025-10-06,63
"HQC6261 Toad",2025-08-05,2025-10-03,60
"HQC6262 Shitake",2025-08-05,2025-08-19,15
