"country","device_id","UTC_datetime","UTC_date","UTC_time","hdop","satcount","U_bat_mV","Altitude_m","speed_km_h","direction_deg","temperature_C","datatype","altitude_raster_elevatr9","real_altitude_elevatr9","altitude_raster_elevatr10","real_altitude_elevatr10","altitude_raster_DEMEU","real_altitude_DEM_EU","Longitude","Latitude"
"EST","201003","2020-06-17 16:09:07","2020-06-17","16:09:07",1,6,4.114,73,19,250,29,"GPS",78,-5,77,-4,77.907600402832,-4.90760040283203,26.759172,58.583275
"EST","201003","2020-06-17 16:39:10","2020-06-17","16:39:10",1.1,6,4.102,97,33,132,28,"GPS",91,6,90,7,91.3374176025391,5.66258239746094,26.668039,58.650612
"EST","201003","2020-06-17 17:09:41","2020-06-17","17:09:41",1.5,7,4.088,64,39,137,28,"GPS",62,2,63,1,63.4937057495117,0.506294250488281,26.706507,58.602203
"EST","201003","2020-06-17 17:39:22","2020-06-17","17:39:22",1.6,6,4.074,82,64,322,27,"GPS",88,-6,89,-7,89.1937713623047,-7.19377136230469,26.569706,58.690498
"EST","201003","2020-06-17 19:09:16","2020-06-17","19:09:16",1.4,7,4.03,93,21,70,27,"GPS",88,5,88,5,88.3341522216797,4.66584777832031,26.584503,58.684978
"EST","201003","2020-06-17 20:09:57","2020-06-17","20:09:57",1.7,8,4.007,66,76,146,28,"GPS",73,-7,73,-7,73.8845748901367,-7.88457489013672,26.712408,58.64917
"EST","201003","2020-09-20 18:57:02","2020-09-20","18:57:02",0.9,8,3.681,207,57,129,18,"GPS",82,125,83,124,NA,0,28.854212,57.401859
"EST","201003","2020-09-21 18:57:56","2020-09-21","18:57:56",4,5,3.675,228,42,155,19,"GPS",194,34,192,36,NA,0,31.281679,55.453754
"EST","201003","2020-09-23 18:58:02","2020-09-23","18:58:02",3.3,6,3.678,217,40,233,21,"GPS",177,40,176,41,NA,0,29.513712,53.671402
"FRA","237508","2024-05-20 08:59:30","2024-05-20","08:59:30",1.8,5,4.173,180,20,134,31,"GPS",15,165,16,164,15.6219043731689,164.378095626831,-0.498595505952835,47.6144638061523
