"country","device_id","UTC_datetime","UTC_date","UTC_time","hdop","satcount","U_bat_mV","Altitude_m","speed_km_h","direction_deg","temperature_C","datatype","altitude_raster_elevatr9","real_altitude_elevatr9","altitude_raster_elevatr10","real_altitude_elevatr10","altitude_raster_DEMEU","real_altitude_DEM_EU","cluster_id","type_mouvement","Longitude","Latitude"
"EST","201003","2020-06-17 16:39:10","2020-06-17","16:39:10",1.1,6,4.102,97,33,132,28,"GPS",91,6,90,7,91.3374176025391,5.66258239746094,0,"Large scale flight",26.668039,58.650612
"EST","201003","2020-06-17 17:09:41","2020-06-17","17:09:41",1.5,7,4.088,64,39,137,28,"GPS",62,2,63,1,63.4937057495117,0.506294250488281,0,"Large scale flight",26.706507,58.602203
"EST","201003","2020-06-17 17:39:22","2020-06-17","17:39:22",1.6,6,4.074,82,64,322,27,"GPS",88,-6,89,-7,89.1937713623047,-7.19377136230469,0,"Large scale flight",26.569706,58.690498
"EST","201003","2020-06-17 19:09:16","2020-06-17","19:09:16",1.4,7,4.03,93,21,70,27,"GPS",88,5,88,5,88.3341522216797,4.66584777832031,0,"Large scale flight",26.584503,58.684978
"EST","201003","2020-06-17 20:09:57","2020-06-17","20:09:57",1.7,8,4.007,66,76,146,28,"GPS",73,-7,73,-7,73.8845748901367,-7.88457489013672,0,"Large scale flight",26.712408,58.64917
"EST","201003","2020-09-20 18:57:02","2020-09-20","18:57:02",0.9,8,3.681,207,57,129,18,"GPS",82,125,83,124,NA,0,0,"Large scale flight",28.854212,57.401859
"EST","201003","2020-09-21 18:57:56","2020-09-21","18:57:56",4,5,3.675,228,42,155,19,"GPS",194,34,192,36,NA,0,0,"Large scale flight",31.281679,55.453754
"EST","201003","2020-09-23 18:58:02","2020-09-23","18:58:02",3.3,6,3.678,217,40,233,21,"GPS",177,40,176,41,NA,0,0,"Large scale flight",29.513712,53.671402
"FRA","241927","2024-06-22 20:11:33","2024-06-22","20:11:33",1.3,6,3.849,94,49,28,18,"GPS",17,77,17,77,17.5548877716064,76.4451122283936,0,"Large scale flight",-0.493386656045914,47.5537147521973
"FRA","241927","2024-06-23 20:11:03","2024-06-23","20:11:03",1.2,7,3.838,76,48,215,21,"GPS",71,5,71,5,72.386344909668,3.61365509033203,0,"Large scale flight",-0.641575515270233,47.2874755859375
