"country","device_id","UTC_datetime","UTC_date","UTC_time","Latitude","Longitude","hdop","satcount","U_bat_mV","Altitude_m","speed_km_h","direction_deg","temperature_C"
"SCOT","373489",2025-08-07 12:31:00,2025-08-07,12:31:00,56.584942,-6.639583,1.9,6,4.174,11,0,190,21
"SCOT","373489",2025-08-07 12:41:00,2025-08-07,12:41:00,56.584961,-6.639573,1.9,6,4.177,16,0,29,21
"SCOT","373489",2025-08-07 12:51:00,2025-08-07,12:51:00,56.584949,-6.639591,1.8,6,4.177,10,0,0,23
"SCOT","373489",2025-08-07 13:01:00,2025-08-07,13:01:00,56.584934,-6.639571,1,9,4.183,13,0,0,27
"SCOT","373489",2025-08-07 13:11:00,2025-08-07,13:11:00,56.584953,-6.639533,1,9,4.186,18,0,0,27
"SCOT","373489",2025-08-07 13:21:00,2025-08-07,13:21:00,56.584972,-6.639569,1.1,8,4.188,17,0,0,26
"SCOT","373489",2025-08-07 13:31:00,2025-08-07,13:31:00,56.584972,-6.639532,1.1,8,4.186,22,0,231,21
"SCOT","373489",2025-08-07 13:41:00,2025-08-07,13:41:00,56.58493,-6.639581,1.1,8,4.183,11,0,344,20
"SCOT","373489",2025-08-07 13:51:00,2025-08-07,13:51:00,56.584957,-6.639553,1.1,8,4.183,17,0,2,22
"SCOT","373489",2025-08-07 14:01:00,2025-08-07,14:01:00,56.584934,-6.639579,1.1,7,4.186,9,0,0,21
"SCOT","373489",2025-08-07 14:11:00,2025-08-07,14:11:00,56.584957,-6.639646,1.3,6,4.18,1,0,0,21
"SCOT","373489",2025-08-07 14:21:00,2025-08-07,14:21:00,56.585152,-6.638798,1.4,5,4.174,16,1,291,27
"SCOT","373489",2025-08-07 14:31:00,2025-08-07,14:31:00,56.58527,-6.638676,1.3,5,4.174,11,0,0,24
"SCOT","373489",2025-08-07 14:41:00,2025-08-07,14:41:00,56.585289,-6.638625,1.2,5,4.177,11,0,0,29
"SCOT","373489",2025-08-07 14:51:00,2025-08-07,14:51:00,56.58532,-6.638703,1.2,5,4.174,17,0,0,22
"SCOT","373489",2025-08-07 15:01:00,2025-08-07,15:01:00,56.585396,-6.638784,1.1,5,4.174,20,2,145,24
"SCOT","373489",2025-08-07 15:11:00,2025-08-07,15:11:00,56.585369,-6.638747,1.6,4,4.174,4,2,324,23
"SCOT","373489",2025-08-07 15:21:00,2025-08-07,15:21:00,56.585327,-6.638591,1.4,4,4.174,0,1,119,23
"SCOT","373489",2025-08-07 15:31:00,2025-08-07,15:31:00,56.585289,-6.638668,1.8,5,4.174,13,0,0,24
"SCOT","373489",2025-08-07 15:41:00,2025-08-07,15:41:00,56.585327,-6.638642,2,5,4.171,25,0,0,24
"SCOT","373489",2025-08-07 15:52:00,2025-08-07,15:52:00,56.585243,-6.638585,1.3,7,4.171,13,0,0,25
"SCOT","373489",2025-08-07 16:01:00,2025-08-07,16:01:00,56.585247,-6.638616,1.3,7,4.169,12,0,183,26
"SCOT","373489",2025-08-07 16:11:00,2025-08-07,16:11:00,56.585285,-6.638614,1,7,4.174,14,0,0,28
"SCOT","373489",2025-08-07 16:21:00,2025-08-07,16:21:00,56.585262,-6.638598,1,7,4.171,11,0,352,24
"SCOT","373489",2025-08-07 16:31:00,2025-08-07,16:31:00,56.585274,-6.638613,1,7,4.171,15,0,345,22
"SCOT","373489",2025-08-07 16:41:00,2025-08-07,16:41:00,56.585274,-6.638592,1.1,7,4.174,10,0,0,23
"SCOT","373489",2025-08-07 16:51:00,2025-08-07,16:51:00,56.585239,-6.638648,1.1,7,4.171,9,0,0,20
"SCOT","373489",2025-08-07 17:01:00,2025-08-07,17:01:00,56.585255,-6.638551,1.4,6,4.171,21,0,0,20
"SCOT","373489",2025-08-07 17:11:00,2025-08-07,17:11:00,56.585262,-6.63865,1.4,6,4.169,16,0,0,20
"SCOT","373489",2025-08-07 17:21:00,2025-08-07,17:21:00,56.585262,-6.638623,1.5,6,4.169,20,0,0,19
"SCOT","373489",2025-08-07 17:31:00,2025-08-07,17:31:00,56.585239,-6.638618,1.5,6,4.169,14,0,0,20
"SCOT","373489",2025-08-07 17:41:00,2025-08-07,17:41:00,56.585243,-6.638635,1.6,6,4.166,12,0,0,22
